skill,title,count,standardized count
Framework Design,project manager,14,0.00018539608549408056
Database Management,project manager,14,0.00018539608549408056
Business Administration,promoter,14,0.00018539608549408056
Arabic Language,fundraising assistant,14,0.00018539608549408056
Strategic Planning,food technician,14,0.00018539608549408056
Arabic Language,football coach,14,0.00018539608549408056
Computer Literacy,food technician,14,0.00018539608549408056
TypeScript,user interface developer,14,0.00018539608549408056
English Language,humanitarian advisor,14,0.00018539608549408056
Accounting,procurement support officer,14,0.00018539608549408056
Public Relations,public relations manager,14,0.00018539608549408056
Dentistry,promoter,14,0.00018539608549408056
Maid Services,production engineer,14,0.00018539608549408056
Management,customer service representative,14,0.00018539608549408056
Situation Analysis,project manager,14,0.00018539608549408056
Management,specialised doctor,14,0.00018539608549408056
Invoicing,administrative assistant,14,0.00018539608549408056
Sales,public relations manager,14,0.00018539608549408056
Verbal Communication Skills,audit supervisor,14,0.00018539608549408056
Nursing,nurse assistant,14,0.00018539608549408056
Verbal Communication Skills,airport operations officer,14,0.00018539608549408056
