Green Occupations within the Energy Sector,Share of Green per Occupation,Share of Non-Green per Occupation,posts count
water traffic coordinator,43.75,56.25,16
zoo section leader,43.75,56.25,96
water quality analyst,43.58974358974359,56.41025641025641,39
soil surveying technician,43.18181818181818,56.81818181818182,176
waiter/waitress,43.07692307692308,56.92307692307692,65
port coordinator,43.07692307692308,56.92307692307692,65
volunteer manager,42.857142857142854,57.14285714285714,7
bed and breakfast operator,42.857142857142854,57.14285714285714,7
tax inspector,42.857142857142854,57.14285714285714,7
ATM repair technician,42.857142857142854,57.14285714285714,7
digital artist,42.857142857142854,57.14285714285714,14
fish and seafood shop manager,42.857142857142854,57.14285714285714,7
demographer,42.857142857142854,57.14285714285714,7
prepress technician,42.857142857142854,57.14285714285714,7
froth flotation deinking operator,42.857142857142854,57.14285714285714,7
incinerator operator,42.857142857142854,57.14285714285714,7
firework assembler,42.857142857142854,57.14285714285714,7
recreational facilities manager,42.857142857142854,57.14285714285714,28
concrete finisher supervisor,42.857142857142854,57.14285714285714,105
synthetic materials engineer,42.69662921348314,57.30337078651685,89
distribution manager,42.465753424657535,57.534246575342465,73
concrete pump operator,42.42424242424242,57.57575757575758,66
battery test technician,42.42424242424242,57.57575757575758,33
medical device engineer,42.42424242424242,57.57575757575758,33
offshore renewable energy engineer,42.331288343558285,57.668711656441715,163
hydrographic surveying technician,42.30769230769231,57.692307692307686,26
industrial robot controller,42.30769230769231,57.692307692307686,26
ICT help desk agent,42.30769230769231,57.692307692307686,26
sales processor,42.10526315789473,57.89473684210527,114
carbonation operator,42.10526315789473,57.89473684210527,19
road construction worker,42.10526315789473,57.89473684210527,38
satellite engineer,42.10526315789473,57.89473684210527,19
wedding planner,42.10526315789473,57.89473684210527,19
industrial production manager,42.0,57.99999999999999,100
labour relations officer,41.81818181818181,58.18181818181818,55
waste treatment engineer,41.66666666666667,58.333333333333336,48
food production engineer,41.66666666666667,58.333333333333336,12
academic advisor,41.42857142857143,58.57142857142858,70
bindery operator,41.30434782608695,58.69565217391305,92
laundry worker,41.30434782608695,58.69565217391305,92
construction general supervisor,41.27740705433746,58.722592945662534,1049
service manager,41.20521172638437,58.79478827361564,614
domestic appliances specialised seller,41.17647058823529,58.82352941176471,17
electricity and energy vocational teacher,41.17647058823529,58.82352941176471,51
communication scientist,41.17647058823529,58.82352941176471,17
health and safety officer,41.01040118870728,58.98959881129272,673
industrial tool design engineer,40.909090909090914,59.09090909090909,44
housekeeping supervisor,40.909090909090914,59.09090909090909,66
irrigation technician,40.909090909090914,59.09090909090909,22
lift installation supervisor,40.88397790055249,59.11602209944752,181
knowledge engineer,40.74074074074074,59.25925925925925,27
airport chief executive,40.74074074074074,59.25925925925925,27
electromechanical equipment assembler,40.625,59.375,32
plumbing supervisor,40.61757719714964,59.38242280285036,421
exploration geologist,40.43715846994536,59.56284153005464,183
power production plant operator,40.343347639484975,59.65665236051502,233
healthcare institution manager,40.298507462686565,59.70149253731343,67
zoology technician,40.0,60.0,20
chemical mixer,40.0,60.0,5
anthropology lecturer,40.0,60.0,5
countryside officer,40.0,60.0,5
agricultural inspector,40.0,60.0,5
healthcare assistant,40.0,60.0,5
educational psychologist,40.0,60.0,5
airport maintenance technician,40.0,60.0,45
botanicals specialist,40.0,60.0,5
ornamental metal worker,40.0,60.0,5
tunnel kiln operator,40.0,60.0,5
"wholesale merchant in hardware, plumbing and heating equipment supplies",40.0,60.0,5
public health policy officer,40.0,60.0,20
ICT application configurator,40.0,60.0,5
mineral crushing operator,40.0,60.0,5
economics lecturer,40.0,60.0,5
import export specialist in office machinery and equipment,40.0,60.0,5
presenter,40.0,60.0,5
ICT resilience manager,40.0,60.0,20
research and development manager,39.795918367346935,60.204081632653065,98
onshore wind energy engineer,39.726027397260275,60.273972602739725,73
quick service restaurant team leader,39.69465648854962,60.30534351145038,131
avionics technician,39.50617283950617,60.49382716049383,81
camping ground operative,39.473684210526315,60.526315789473685,76
twisting machine operator,39.39393939393939,60.60606060606061,33
mine shift manager,39.189189189189186,60.810810810810814,74
motor vehicles parts advisor,39.189189189189186,60.810810810810814,74
ship captain,39.130434782608695,60.86956521739131,92
construction commercial diver,39.130434782608695,60.86956521739131,23
hospitality entertainment manager,38.983050847457626,61.016949152542374,59
debt collector,38.88888888888889,61.111111111111114,36
geology technician,38.793103448275865,61.206896551724135,116
economist,38.75,61.25000000000001,80
inland water transport general manager,38.70967741935484,61.29032258064516,31
ICT trainer,38.63636363636363,61.36363636363637,44
aviation communications and frequency coordination manager,38.46153846153847,61.53846153846154,13
cultural visitor services manager,38.46153846153847,61.53846153846154,13
contract manager,38.4272997032641,61.5727002967359,1348
actuarial consultant,38.23529411764706,61.76470588235294,34
underwater construction supervisor,38.19951338199513,61.80048661800487,411
groundwater monitoring technician,38.095238095238095,61.904761904761905,21
football coach,37.93103448275862,62.06896551724138,29
social services policy officer,37.93103448275862,62.06896551724138,29
research engineer,37.89173789173789,62.10826210826211,351
speechwriter,37.77777777777778,62.22222222222222,45
public procurement specialist,37.64705882352941,62.35294117647059,85
fisheries boatman,37.5,62.5,32
surface engineer,37.5,62.5,128
promotion assistant,37.5,62.5,8
head waiter/head waitress,37.5,62.5,24
mine surveying technician,37.5,62.5,8
pre-lasting operator,37.5,62.5,8
clothing process control technician,37.5,62.5,8
electroplating machine operator,37.5,62.5,8
assistant video and motion picture director,37.5,62.5,40
baggage flow supervisor,37.5,62.5,16
leisure attendant,37.5,62.5,16
sterile services technician,37.5,62.5,32
electrical supervisor,37.42540494458653,62.574595055413475,1173
petroleum pump system operator,37.38317757009346,62.616822429906534,107
building electrician,37.34939759036144,62.65060240963856,166
foreign affairs officer,37.3134328358209,62.68656716417911,67
project manager,37.28518057285181,62.71481942714819,4015
economic development coordinator,37.142857142857146,62.857142857142854,35
commissioning engineer,37.11583924349882,62.88416075650118,1692
specialist biomedical scientist,37.096774193548384,62.903225806451616,62
mining geotechnical engineer,37.03703703703704,62.96296296296296,27
localiser,36.95652173913043,63.04347826086957,46
ICT teacher secondary school,36.84210526315789,63.1578947368421,19
interior planner,36.84210526315789,63.1578947368421,19
process engineer,36.784651008931526,63.215348991068474,3023
industrial engineer,36.73965936739659,63.26034063260341,411
water network operative,36.58536585365854,63.41463414634146,41
maintenance and repair engineer,36.52069104057855,63.47930895942145,2489
construction safety manager,36.434108527131784,63.565891472868216,387
electrical equipment assembler,36.36363636363637,63.63636363636363,33
drill press operator,36.36363636363637,63.63636363636363,33
news anchor,36.36363636363637,63.63636363636363,22
scientific laboratory technician,36.231884057971016,63.76811594202898,207
nuclear engineer,35.95505617977528,64.04494382022472,89
engineering assistant,35.75,64.25,800
physics technician,35.714285714285715,64.28571428571429,56
venture capitalist,35.714285714285715,64.28571428571429,28
steam plant operator,35.714285714285715,64.28571428571429,14
paint mixer,35.714285714285715,64.28571428571429,14
artistic painter,35.714285714285715,64.28571428571429,14
defence administration officer,35.53719008264463,64.46280991735537,121
mineral processing engineer,35.483870967741936,64.51612903225806,31
manufacturing cost estimator,35.3448275862069,64.65517241379311,348
